,mean,var,std
acc,0.23913206775547935,2.8450861347514686e-05,0.005333934884071485
balanced_acc,0.0459096765902609,1.6281514496551117e-06,0.0012759903799226355
prec_macro,0.04042432908093261,0.0001786795120739907,0.01336710559822098
recall_macro,0.0459096765902609,1.6281514496551117e-06,0.0012759903799226355
f1_macro,0.02895323061178165,3.220026860889316e-06,0.0017944433289712207
mcc,0.14259933081814705,3.872050684614647e-05,0.006222580400938703
kappa,0.1304932176858297,3.642692681956501e-05,0.006035472377499959
auc_ovr,0.6928622597715243,0.0006315778035150268,0.025131211739886854
