,Full_Mean,Full_Std,Reduced_Mean,Reduced_Std
acc,0.4145820711775586,0.007339644168453504,0.23913206775547935,0.005333934884071485
balanced_acc,0.11718104273628374,0.006697672542651015,0.0459096765902609,0.0012759903799226355
prec_macro,0.18310922218656547,0.021001717903378257,0.04042432908093261,0.01336710559822098
recall_macro,0.11718104273628374,0.006697672542651015,0.0459096765902609,0.0012759903799226355
f1_macro,0.12188732048898154,0.008980042941577436,0.02895323061178165,0.0017944433289712207
mcc,0.3483502259140177,0.008283183115639284,0.14259933081814705,0.006222580400938703
kappa,0.3406961003617811,0.007811699017826656,0.1304932176858297,0.006035472377499959
auc_ovr,0.8193699132339679,0.017434304655601557,0.6928622597715243,0.025131211739886854
