,mean,var,std
acc,0.4145820711775586,5.387037651951353e-05,0.007339644168453504
balanced_acc,0.11718104273628374,4.4858817488581314e-05,0.006697672542651015
prec_macro,0.18310922218656547,0.00044107215489307887,0.021001717903378257
recall_macro,0.11718104273628374,4.4858817488581314e-05,0.006697672542651015
f1_macro,0.12188732048898154,8.064117123257473e-05,0.008980042941577436
mcc,0.3483502259140177,6.861112252721172e-05,0.008283183115639284
kappa,0.3406961003617811,6.102264154511394e-05,0.007811699017826656
auc_ovr,0.8193699132339679,0.0003039549788243302,0.017434304655601557
