Rank,Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
108,202,202,2.0519177e-10,ENSG00000169914,OTUD3
109,438,438,1.7954004e-10,ENSG00000117010,ZNF684
110,451,451,1.7915827e-10,ENSG00000171960,PPIH
111,486,486,1.6680574e-10,ENSG00000173846,PLK3
112,59,59,1.5861103e-10,ENSG00000157916,RER1
113,443,443,1.3880687e-10,ENSG00000171793,CTPS1
114,35,35,1.3113174e-10,ENSG00000228594,FNDC10
115,21,21,1.3094605e-10,ENSG00000107404,DVL1
116,469,469,1.2216414e-10,ENSG00000126091,ST3GAL3
117,479,479,9.4475885e-11,ENSG00000178028,DMAP1
118,29,29,7.862035e-11,ENSG00000179403,VWA1
119,449,449,7.5688684e-11,ENSG00000127125,PPCS
120,13,13,6.092147e-11,ENSG00000176022,B3GALT6
121,168,168,5.856247e-11,ENSG00000116809,ZBTB17
122,349,349,4.8775258e-11,ENSG00000160062,ZBTB8A
123,478,478,4.8222093e-11,ENSG00000230615,AL139220.2
124,211,211,4.8045637e-11,ENSG00000189410,SH2D5
125,462,462,4.4640014e-11,ENSG00000066056,TIE1
126,481,481,4.4555973e-11,ENSG00000187147,RNF220
127,111,111,4.0288533e-11,ENSG00000171612,SLC25A33
128,218,218,3.7089137e-11,ENSG00000090686,USP48
129,85,85,3.669684e-11,ENSG00000116237,ICMT
130,87,87,3.624794e-11,ENSG00000097021,ACOT7
131,90,90,3.4926985e-11,ENSG00000171680,PLEKHG5
132,166,166,3.4737574e-11,ENSG00000179743,AL450998.2
133,393,393,3.251625e-11,ENSG00000181817,LSM10
134,28,28,3.0329066e-11,ENSG00000235098,ANKRD65
135,484,484,2.7763175e-11,ENSG00000142937,RPS8
136,124,124,2.656269e-11,ENSG00000241563,CORT
137,280,280,2.5883897e-11,ENSG00000204160,ZDHHC18
138,1,1,2.3044283e-11,ENSG00000237491,LINC01409
139,64,64,2.2612278e-11,ENSG00000272449,AL139246.5
140,75,75,2.1320815e-11,ENSG00000116198,CEP104
141,467,467,1.8427851e-11,ENSG00000142949,PTPRF
142,312,312,1.7678609e-11,ENSG00000180098,TRNAU1AP
143,399,399,1.6011066e-11,ENSG00000163874,ZC3H12A
144,39,39,1.5822177e-11,ENSG00000189409,MMP23B
145,377,377,1.5749615e-11,ENSG00000239636,AC004865.2
146,141,141,1.5689618e-11,ENSG00000177674,AGTRAP
147,463,463,1.3747358e-11,ENSG00000066322,ELOVL1
148,426,426,1.2862873e-11,ENSG00000198754,OXCT2
149,364,364,1.0836481e-11,ENSG00000134686,PHC2
150,148,148,1.0445381e-11,ENSG00000028137,TNFRSF1B
151,477,477,8.488261e-12,ENSG00000196517,SLC6A9
152,53,53,8.070488e-12,ENSG00000162585,FAAP20
153,47,47,7.9137565e-12,ENSG00000178821,TMEM52
154,237,237,7.568634e-12,ENSG00000142676,RPL11
155,419,419,7.327339e-12,ENSG00000168653,NDUFS5
156,9,9,6.909231e-12,ENSG00000188157,AGRN
157,43,43,6.5759433e-12,ENSG00000215790,SLC35E2A
158,254,254,6.5013403e-12,ENSG00000117614,SYF2
159,183,183,5.4901006e-12,ENSG00000159363,ATP13A2
160,460,460,5.1496485e-12,ENSG00000117395,EBNA1BP2
161,138,138,4.492768e-12,ENSG00000132879,FBXO44
162,272,272,4.1037703e-12,ENSG00000130695,CEP85
163,497,497,3.0857177e-12,ENSG00000132763,MMACHC
164,366,366,2.903478e-12,ENSG00000163866,SMIM12
165,164,164,2.8909342e-12,ENSG00000162458,FBLIM1
166,49,49,2.765935e-12,ENSG00000233542,AL391845.2
167,108,108,2.7462223e-12,ENSG00000142583,SLC2A5
168,188,188,2.7415327e-12,ENSG00000117154,IGSF21
169,475,475,2.734415e-12,ENSG00000117411,B4GALT2
170,62,62,2.7140879e-12,ENSG00000157881,PANK4
171,429,429,2.711661e-12,ENSG00000131236,CAP1
172,417,417,2.708818e-12,ENSG00000214114,MYCBP
173,88,88,2.7080484e-12,ENSG00000187017,ESPN
174,382,382,2.7079192e-12,ENSG00000092847,AGO1
175,149,149,2.7062254e-12,ENSG00000048707,VPS13D
176,230,230,2.706205e-12,ENSG00000261326,LINC01355
177,113,113,2.7057816e-12,ENSG00000171608,PIK3CD
178,58,58,2.7055133e-12,ENSG00000272420,AL513477.2
179,398,398,2.7053895e-12,ENSG00000233621,LINC01137
180,80,80,2.7048995e-12,ENSG00000069424,KCNAB2
181,391,391,2.7046414e-12,ENSG00000286379,AL591845.1
182,187,187,2.7044866e-12,ENSG00000074964,ARHGEF10L
183,455,455,2.7043422e-12,ENSG00000164008,C1orf50
184,308,308,2.7039863e-12,ENSG00000130772,MED18
185,208,208,2.7035893e-12,ENSG00000183114,FAM43B
186,328,328,2.7035583e-12,ENSG00000121769,FABP3
187,146,146,2.7032799e-12,ENSG00000116688,MFN2
188,403,403,2.7031253e-12,ENSG00000134697,GNL2
189,396,396,2.7030995e-12,ENSG00000119535,CSF3R
190,199,199,2.7030528e-12,ENSG00000077549,CAPZB
191,160,160,2.7030427e-12,ENSG00000116138,DNAJC16
192,355,355,2.7029756e-12,ENSG00000116497,S100PBP
193,483,483,2.7029449e-12,ENSG00000198520,ARMH1
194,198,198,2.702687e-12,ENSG00000040487,SLC66A1
195,385,385,2.7024858e-12,ENSG00000171812,COL8A2
196,27,27,2.7022282e-12,ENSG00000272455,AL391244.2
197,159,159,2.7019394e-12,ENSG00000132906,CASP9
198,365,365,2.701852e-12,ENSG00000121904,CSMD2
199,343,343,2.7016356e-12,ENSG00000084623,EIF3I
200,332,332,2.7015684e-12,ENSG00000084636,COL16A1
201,91,91,2.7015172e-12,ENSG00000162408,NOL9
202,359,359,2.7014554e-12,ENSG00000116514,RNF19B
203,493,493,2.7013777e-12,ENSG00000132781,MUTYH
204,52,52,2.7013008e-12,ENSG00000182873,PRKCZ-AS1
205,404,404,2.7011924e-12,ENSG00000116922,C1orf109
206,354,354,2.700966e-12,ENSG00000134684,YARS
207,167,167,2.7009092e-12,ENSG00000065526,SPEN
208,430,430,2.700837e-12,ENSG00000131238,PPT1
209,232,232,2.7007595e-12,ENSG00000125945,ZNF436
210,448,448,2.700595e-12,ENSG00000066185,ZMYND12
211,125,125,2.7003681e-12,ENSG00000160049,DFFA
212,470,470,2.7003681e-12,ENSG00000117407,ARTN
213,474,474,2.7002756e-12,ENSG00000117410,ATP6V0B
214,327,327,2.700116e-12,ENSG00000121766,ZCCHC17
215,133,133,2.7000797e-12,ENSG00000198793,MTOR
216,341,341,2.69991e-12,ENSG00000160051,IQCC
217,214,214,2.6998377e-12,ENSG00000117298,ECE1
