Rank,Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
461,60,60,3.6616675e-17,ENSG00000157911,PEX10
462,215,215,3.5335147e-17,ENSG00000142794,NBPF3
463,444,444,3.1847966e-17,ENSG00000010803,SCMH1
464,347,347,2.6746649e-17,ENSG00000160058,BSDC1
465,348,348,2.5844747e-17,ENSG00000273274,ZBTB8B
466,48,48,2.3510288e-17,ENSG00000142609,CFAP74
467,384,384,2.2830891e-17,ENSG00000116863,ADPRHL2
468,11,11,1.8381773e-17,ENSG00000186891,TNFRSF18
469,414,414,1.4706022e-17,ENSG00000185668,POU3F1
470,494,494,1.3848110000000001e-17,ENSG00000132773,TOE1
471,376,376,8.616744e-18,ENSG00000020129,NCDN
472,206,206,8.403566e-18,ENSG00000162545,CAMK2N1
473,120,120,7.921026000000001e-18,ENSG00000054523,KIF1B
474,97,97,4.9534866999999996e-18,ENSG00000237436,CAMTA1-DT
475,161,161,4.3615757e-18,ENSG00000197312,DDI2
476,361,361,3.292893e-18,ENSG00000142920,AZIN2
477,38,38,2.5746824e-18,ENSG00000197530,MIB2
478,163,163,2.1840046e-18,ENSG00000162461,SLC25A34
479,69,69,1.9574002999999998e-18,ENSG00000162591,MEGF6
480,186,186,1.746762e-18,ENSG00000179051,RCC2
481,240,240,1.3942508999999998e-18,ENSG00000057757,PITHD1
482,248,248,8.521225999999999e-19,ENSG00000230023,LINC02800
483,24,24,5.4336393e-19,ENSG00000221978,CCNL2
484,258,258,4.738327999999999e-19,ENSG00000204178,MACO1
485,303,303,2.999756e-19,ENSG00000158161,EYA3
486,390,390,2.2543027e-19,ENSG00000142694,EVA1B
487,244,244,2.151924e-19,ENSG00000179163,FUCA1
488,14,14,2.1205749999999998e-19,ENSG00000184163,C1QTNF12
489,307,307,1.4561425e-19,ENSG00000130766,SESN2
490,265,265,1.2057118e-19,ENSG00000117632,STMN1
491,373,373,1.0140454e-19,ENSG00000116560,SFPQ
492,450,450,7.1164616e-20,ENSG00000186409,CCDC30
493,425,425,4.4937437e-20,ENSG00000084072,PPIE
494,235,235,1.8545712e-20,ENSG00000088280,ASAP3
495,251,251,1.7376552e-20,ENSG00000117602,RCAN3
496,192,192,5.2201543000000004e-21,ENSG00000127481,UBR4
497,433,433,3.2163982e-22,ENSG00000084073,ZMPSTE24
498,353,353,1.4457561e-23,ENSG00000162522,KIAA1522
499,205,205,4.753863e-26,ENSG00000162543,UBXN10
500,158,158,2.9921454e-26,ENSG00000142634,EFHD2
