,mean,var,std
acc,0.9165675504640747,0.00011185313843259843,0.01057606441132988
balanced_acc,0.8838684328163915,0.0002267289649542666,0.015057521872946643
prec_macro,0.924531756841499,0.000161388891732736,0.012703892778701181
recall_macro,0.8838684328163915,0.0002267289649542666,0.015057521872946643
f1_macro,0.9000743954391,0.00019844766691637546,0.014087145449535739
mcc,0.8805793265128019,0.000231727922113001,0.015222612197418715
kappa,0.8800914083405076,0.00023176583211245808,0.015223857333555713
auc_ovr,0.9914357004822862,4.840615053651083e-06,0.0022001397804801135
