Biomarker_Name,Original_Index,Attention_Score
227,227,2.6963024e-12
219,219,2.6961944e-12
226,226,2.696076e-12
439,439,2.6960554e-12
54,54,2.6959114e-12
356,356,2.6958756e-12
139,139,2.6958704e-12
309,309,2.6957932e-12
326,326,2.695788e-12
100,100,2.6957625e-12
437,437,2.6956183e-12
434,434,2.6955157e-12
143,143,2.695166e-12
106,106,2.6950065e-12
255,255,2.6950065e-12
458,458,2.694904e-12
109,109,2.6946108e-12
340,340,2.6944824e-12
234,234,2.6944003e-12
287,287,2.6941535e-12
461,461,2.6940815e-12
453,453,2.6940405e-12
492,492,2.6937786e-12
103,103,2.6934034e-12
127,127,2.6933364e-12
136,136,2.6932133e-12
185,185,2.6928744e-12
213,213,2.6928332e-12
294,294,2.6927614e-12
282,282,2.6926176e-12
405,405,2.692561e-12
56,56,2.6925506e-12
130,130,2.6923607e-12
228,228,2.6923197e-12
311,311,2.6912823e-12
10,10,2.691221e-12
217,217,2.6910514e-12
81,81,2.6910258e-12
491,491,2.6910002e-12
345,345,2.690518e-12
322,322,2.690323e-12
416,416,2.6893943e-12
155,155,2.6893735e-12
302,302,2.6889786e-12
89,89,2.6862772e-12
408,408,2.680274e-12
283,283,2.6782144e-12
276,276,2.676519e-12
334,334,2.6646966e-12
252,252,2.6275956e-12
427,427,2.5867153e-12
358,358,2.5360595e-12
407,407,2.4658752e-12
498,498,2.2785183e-12
321,321,2.2512428e-12
19,19,2.2075946e-12
123,123,2.1920113e-12
118,118,2.0172661e-12
465,465,1.9910584e-12
61,61,1.9827967e-12
432,432,1.978856e-12
170,170,1.7798473e-12
55,55,1.7597625e-12
459,459,1.6665736e-12
299,299,1.5608096e-12
499,499,1.4623099e-12
117,117,1.4470304e-12
3,3,1.3727307e-12
374,374,1.2749069e-12
18,18,1.2369107e-12
194,194,1.1726414e-12
297,297,1.0094485e-12
246,246,9.89958e-13
440,440,9.881036e-13
315,315,8.921768e-13
162,162,8.1564627e-13
351,351,7.786797e-13
446,446,7.3654337e-13
72,72,6.5089053e-13
452,452,5.9943066e-13
193,193,5.9795186e-13
12,12,5.969104e-13
4,4,5.80162e-13
93,93,5.70906e-13
96,96,4.5991244e-13
335,335,4.4622262e-13
447,447,4.0827124e-13
229,229,3.956527e-13
496,496,3.880652e-13
70,70,3.8100819e-13
268,268,3.448102e-13
191,191,3.372238e-13
46,46,3.276106e-13
293,293,2.9950088e-13
122,122,2.8674453e-13
203,203,2.780745e-13
270,270,2.7320206e-13
212,212,2.674813e-13
239,239,2.571764e-13
204,204,2.5676564e-13
428,428,2.3252434e-13
285,285,2.0649651e-13
32,32,1.9844113e-13
189,189,1.8456254e-13
412,412,1.6130256e-13
50,50,1.5408693e-13
114,114,1.5067347e-13
153,153,1.4344221e-13
63,63,1.3249218e-13
431,431,1.2839477e-13
271,271,1.1266922e-13
181,181,1.00074266e-13
195,195,9.909965e-14
288,288,9.747751e-14
260,260,8.424109e-14
79,79,7.340985e-14
292,292,6.704894e-14
367,367,6.309234e-14
98,98,5.6689953e-14
180,180,5.6571575e-14
249,249,5.2405945e-14
422,422,4.7845564e-14
84,84,4.5468156e-14
238,238,4.0530174e-14
200,200,3.9213123e-14
22,22,3.5109946e-14
471,471,3.4943924e-14
395,395,3.253692e-14
20,20,3.236726e-14
6,6,3.1698267e-14
37,37,3.0189345e-14
33,33,2.8970082e-14
30,30,2.858619e-14
259,259,2.7602986e-14
418,418,2.1848757e-14
223,223,2.1322489e-14
253,253,2.0293082e-14
314,314,1.8862343e-14
262,262,1.7287184e-14
129,129,1.6836814e-14
386,386,1.5889413e-14
278,278,1.580264e-14
489,489,1.4675557e-14
394,394,1.456396e-14
182,182,1.2632337e-14
25,25,1.1957e-14
296,296,9.33152e-15
466,466,8.509971e-15
73,73,8.2701375e-15
413,413,7.370078e-15
225,225,7.198884e-15
45,45,7.141772e-15
131,131,6.45678e-15
245,245,5.916966e-15
241,241,4.7567558e-15
339,339,4.722782e-15
121,121,4.0877573e-15
86,86,3.6490798e-15
178,178,3.2962912e-15
177,177,3.0071751e-15
94,94,2.8607883e-15
411,411,2.8102118e-15
165,165,2.7944225e-15
78,78,2.761782e-15
67,67,2.715689e-15
277,277,2.470881e-15
201,201,2.4500538e-15
424,424,2.3383215e-15
472,472,2.2367129e-15
77,77,1.6441353e-15
281,281,1.6364953e-15
128,128,1.5661901e-15
468,468,1.1942248e-15
243,243,1.1922584e-15
267,267,1.1900728e-15
74,74,1.0266664e-15
171,171,9.832911e-16
368,368,8.98746e-16
295,295,7.8940967e-16
387,387,7.3228534e-16
442,442,5.8928834e-16
135,135,5.812044e-16
222,222,5.4353056e-16
40,40,4.808971e-16
264,264,4.7208704e-16
26,26,4.4838896e-16
378,378,4.362745e-16
132,132,4.2868732e-16
16,16,3.1720428e-16
5,5,3.0462097e-16
256,256,2.393909e-16
454,454,2.38173e-16
362,362,2.1029844e-16
247,247,1.8157235e-16
82,82,1.406834e-16
51,51,1.3599037e-16
336,336,1.08051864e-16
306,306,9.730368e-17
68,68,9.650705e-17
71,71,7.5286604e-17
152,152,7.235741e-17
57,57,6.8306993e-17
224,224,6.8275475e-17
17,17,6.6822224e-17
140,140,5.651346e-17
441,441,4.5924267e-17
157,157,3.999128e-17
324,324,3.953411e-17
60,60,3.6616675e-17
215,215,3.5335147e-17
444,444,3.1847966e-17
347,347,2.6746649e-17
348,348,2.5844747e-17
48,48,2.3510288e-17
384,384,2.2830891e-17
11,11,1.8381773e-17
414,414,1.4706022e-17
494,494,1.384811e-17
376,376,8.616744e-18
206,206,8.403566e-18
120,120,7.921026e-18
97,97,4.9534867e-18
161,161,4.3615757e-18
361,361,3.292893e-18
38,38,2.5746824e-18
163,163,2.1840046e-18
69,69,1.9574003e-18
186,186,1.746762e-18
240,240,1.3942509e-18
248,248,8.521226e-19
24,24,5.4336393e-19
258,258,4.738328e-19
303,303,2.999756e-19
390,390,2.2543027e-19
244,244,2.151924e-19
14,14,2.120575e-19
307,307,1.4561425e-19
265,265,1.2057118e-19
373,373,1.0140454e-19
450,450,7.1164616e-20
425,425,4.4937437e-20
235,235,1.8545712e-20
251,251,1.7376552e-20
192,192,5.2201543e-21
433,433,3.2163982e-22
353,353,1.4457561e-23
205,205,4.753863e-26
158,158,2.9921454e-26
