,mean,var,std
acc,0.8162048906341273,0.0002989306892336183,0.01728961217707379
balanced_acc,0.7417219898749765,0.0006619718812966599,0.025728814222514412
prec_macro,0.8221902435834286,0.0006852740054599996,0.026177738738477768
recall_macro,0.7417219898749765,0.0006619718812966599,0.025728814222514412
f1_macro,0.7655061637098897,0.0006949434765590715,0.026361780602968978
mcc,0.7349703755592304,0.0006408794970754603,0.0253155979008093
kappa,0.7323814662326791,0.0006468185246790777,0.02543262716824744
auc_ovr,0.9586773874346607,6.695538470415427e-05,0.008182627005073264
