,Full_Mean,Full_Std,Reduced_Mean,Reduced_Std
acc,0.9165675504640747,0.01057606441132988,0.8162048906341273,0.01728961217707379
balanced_acc,0.8838684328163915,0.015057521872946643,0.7417219898749765,0.025728814222514412
prec_macro,0.924531756841499,0.012703892778701181,0.8221902435834286,0.026177738738477768
recall_macro,0.8838684328163915,0.015057521872946643,0.7417219898749765,0.025728814222514412
f1_macro,0.9000743954391,0.014087145449535739,0.7655061637098897,0.026361780602968978
mcc,0.8805793265128019,0.015222612197418715,0.7349703755592304,0.0253155979008093
kappa,0.8800914083405076,0.015223857333555713,0.7323814662326791,0.02543262716824744
auc_ovr,0.9914357004822862,0.0022001397804801135,0.9586773874346607,0.008182627005073264
