Biomarker Rank,Gene Symbol,OncoKB Role,Actionability Level,Functional Description,Rank Importance Score
38,PIK3CD,Oncogene (OG),Level 1 (FDA Target),Phosphoinositide 3-Kinase Delta Catalytic Subunit,0.9089
202,ARID1A,Tumor Suppressor (TSG),Level 2 (Standard Care),SWI/SNF Chromatin Remodeling Complex Subunit,0.5049
300,MTOR,Oncogene (OG),Level 1 (FDA Target),PI3K/Akt/mTOR Nutrient & Growth Regulator,0.2635
