,Full_Mean,Full_Std,Reduced_Mean,Reduced_Std
acc,0.458387742665622,0.013854356058339552,0.39948838486315635,0.011226246435142183
balanced_acc,0.11168881001735212,0.009869474346188331,0.08644911715867197,0.004687877812560855
prec_macro,0.09002663477773486,0.01579025591961599,0.07467450674731374,0.012615628752200654
recall_macro,0.11168881001735212,0.009869474346188331,0.08644911715867197,0.004687877812560855
f1_macro,0.0953031333864158,0.00954934725067779,0.07297310417902443,0.00554012583773216
mcc,0.37035136194555773,0.017279289230815894,0.29979522968946265,0.014180876332406594
kappa,0.3630029998556375,0.017022046933661855,0.28956425578684447,0.013696000933139692
auc_ovr,0.794650989834254,0.0173388287325997,0.7481061273925175,0.019558885338564418
