Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
369,369,6.281918e-13,ENSG00000116544,DLGAP3
276,276,6.2561376e-13,ENSG00000198830,HMGN2
271,271,6.1261293e-13,ENSG00000142675,CNKSR1
33,33,5.99363e-13,ENSG00000205090,TMEM240
497,497,5.918234e-13,ENSG00000132763,MMACHC
144,144,5.4959645e-13,ENSG00000116685,KIAA2013
302,302,5.447466e-13,ENSG00000158156,XKR8
253,253,5.4262286e-13,ENSG00000169504,CLIC4
419,419,5.305708e-13,ENSG00000168653,NDUFS5
120,120,5.1934195e-13,ENSG00000054523,KIF1B
10,10,4.750675e-13,ENSG00000131591,C1orf159
222,222,4.722785e-13,ENSG00000184677,ZBTB40
409,409,4.4899466e-13,ENSG00000188786,MTF1
99,99,4.2405651e-13,ENSG00000270171,AL359881.3
340,340,4.1912808e-13,ENSG00000160050,CCDC28B
143,143,3.989193e-13,ENSG00000011021,CLCN6
210,210,3.6931883e-13,ENSG00000244038,DDOST
498,498,3.2652006e-13,ENSG00000117450,PRDX1
315,315,3.1945545e-13,ENSG00000162419,GMEB1
40,40,3.1436662e-13,ENSG00000248333,CDK11B
280,280,3.0746765e-13,ENSG00000204160,ZDHHC18
287,287,2.8263722e-13,ENSG00000142784,WDTC1
257,257,2.8164973e-13,ENSG00000183726,TMEM50A
255,255,2.7508649e-13,ENSG00000117616,RSRP1
123,123,2.664257e-13,ENSG00000175279,CENPS
294,294,2.3816105e-13,ENSG00000000938,FGR
389,389,2.341818e-13,ENSG00000214193,SH3D21
432,432,2.1793032e-13,ENSG00000259943,AL050341.2
488,488,1.9342721e-13,ENSG00000070785,EIF2B3
368,368,1.9225316e-13,ENSG00000187513,GJA4
134,134,1.7113967e-13,ENSG00000171819,ANGPTL7
61,61,1.4502483e-13,ENSG00000149527,PLCH2
224,224,1.3926193e-13,ENSG00000173372,C1QA
201,201,1.3454395e-13,ENSG00000158747,NBL1
296,296,1.2422864e-13,ENSG00000009780,FAM76A
425,425,1.2197254e-13,ENSG00000084072,PPIE
187,187,1.1987351e-13,ENSG00000074964,ARHGEF10L
238,238,1.0753492e-13,ENSG00000236810,ELOA-AS1
96,96,9.6024635e-14,ENSG00000007923,DNAJC11
442,442,9.104081e-14,ENSG00000179862,CITED4
486,486,8.195224e-14,ENSG00000173846,PLK3
359,359,7.430576e-14,ENSG00000116514,RNF19B
264,264,7.20438e-14,ENSG00000182749,PAQR7
461,461,6.98098e-14,ENSG00000179178,TMEM125
69,69,6.9246976e-14,ENSG00000162591,MEGF6
241,241,6.504768e-14,ENSG00000011009,LYPLA2
