Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
GO_Biological_Process_2021,cellular response to transforming growth factor beta stimulus (GO:0071560),2/114,0.67634025424016,0.861120912649058,0.33674907858342157,PRKCZ;SKI,1.0
GO_Biological_Process_2021,protein targeting to mitochondrion (GO:0006626),1/55,0.676814737208894,0.8934613409936385,0.3487695106169684,MFN2,1.0
GO_Biological_Process_2021,pyruvate metabolic process (GO:0006090),1/55,0.676814737208894,0.8934613409936385,0.3487695106169684,ENO1,1.0
GO_Biological_Process_2021,positive regulation of response to DNA damage stimulus (GO:2001022),1/55,0.676814737208894,0.8934613409936385,0.3487695106169684,EYA3,1.0
GO_Biological_Process_2021,triglyceride metabolic process (GO:0006641),1/55,0.676814737208894,0.8934613409936385,0.3487695106169684,FABP3,1.0
GO_Biological_Process_2021,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),1/55,0.676814737208894,0.8934613409936385,0.3487695106169684,IFI6,1.0
GO_Biological_Process_2021,regulation of blood vessel endothelial cell migration (GO:0043535),1/55,0.676814737208894,0.8934613409936385,0.3487695106169684,EPHA2,1.0
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),6/335,0.6776301829186613,0.8783434435429337,0.34181050674740815,FGR;ISG15;LAPTM5;PIK3CD;PRKCZ;TNFRSF14,1.0
GO_Biological_Process_2021,cellular amide metabolic process (GO:0043603),2/115,0.6809793393177068,0.8534565639094471,0.3279179076619079,ACOT7;MTHFR,1.0
GO_Biological_Process_2021,cellular response to molecule of bacterial origin (GO:0071219),2/115,0.6809793393177068,0.8534565639094471,0.3279179076619079,TNFRSF1B;ZC3H12A,1.0
GO_Biological_Process_2021,sensory organ development (GO:0007423),1/56,0.6833934896126639,0.8771716959620907,0.3339256385036218,ECE1,1.0
GO_Biological_Process_2021,protein-containing complex disassembly (GO:0032984),1/56,0.6833934896126639,0.8771716959620907,0.3339256385036218,DVL1,1.0
GO_Biological_Process_2021,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",1/56,0.6833934896126639,0.8771716959620907,0.3339256385036218,PLK3,1.0
GO_Biological_Process_2021,mitochondrial transport (GO:0006839),1/56,0.6833934896126639,0.8771716959620907,0.3339256385036218,MFN2,1.0
GO_Biological_Process_2021,cytosolic transport (GO:0016482),2/116,0.6855640398922844,0.845926677428426,0.31934862538852454,LAPTM5;VAMP3,1.0
GO_Biological_Process_2021,regulation of bone mineralization (GO:0030500),1/57,0.6898386482176202,0.8614638239673836,0.31985940888887787,ISG15,1.0
GO_Biological_Process_2021,negative regulation of DNA recombination (GO:0045910),1/57,0.6898386482176202,0.8614638239673836,0.31985940888887787,MAD2L2,1.0
GO_Biological_Process_2021,positive regulation of interferon-gamma production (GO:0032729),1/57,0.6898386482176202,0.8614638239673836,0.31985940888887787,ISG15,1.0
GO_Biological_Process_2021,dicarboxylic acid metabolic process (GO:0043648),1/57,0.6898386482176202,0.8614638239673836,0.31985940888887787,MTHFR,1.0
GO_Biological_Process_2021,negative regulation of cell cycle G2/M phase transition (GO:1902750),1/57,0.6898386482176202,0.8614638239673836,0.31985940888887787,PSMB2,1.0
GO_Biological_Process_2021,positive regulation of cell projection organization (GO:0031346),2/117,0.6900946461889628,0.8385277454949008,0.3110321805788368,DVL1;P3H1,1.0
GO_Biological_Process_2021,positive regulation of protein-containing complex assembly (GO:0031334),2/118,0.6945714590641964,0.8312563813533329,0.3029598913217268,ISG15;RPA2,1.0
GO_Biological_Process_2021,regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,LAPTM5,1.0
GO_Biological_Process_2021,fat cell differentiation (GO:0045444),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,SDF4,1.0
GO_Biological_Process_2021,eye development (GO:0001654),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,SKI,1.0
GO_Biological_Process_2021,regulation of calcium ion transport (GO:0051924),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,EPB41,1.0
GO_Biological_Process_2021,mitochondrial respiratory chain complex I assembly (GO:0032981),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,NDUFS5,1.0
GO_Biological_Process_2021,membrane lipid biosynthetic process (GO:0046467),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,ELOVL1,1.0
GO_Biological_Process_2021,receptor metabolic process (GO:0043112),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,LDLRAP1,1.0
GO_Biological_Process_2021,NADH dehydrogenase complex assembly (GO:0010257),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,NDUFS5,1.0
GO_Biological_Process_2021,nucleosome assembly (GO:0006334),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,RBBP4,1.0
GO_Biological_Process_2021,regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,BMP8A,1.0
GO_Biological_Process_2021,positive regulation of protein binding (GO:0032092),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,EPB41,1.0
GO_Biological_Process_2021,cellular iron ion homeostasis (GO:0006879),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,ATP13A2,1.0
GO_Biological_Process_2021,RNA modification (GO:0009451),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,TRIT1,1.0
GO_Biological_Process_2021,chordate embryonic development (GO:0043009),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,DVL1,1.0
GO_Biological_Process_2021,muscle organ development (GO:0007517),1/58,0.696152919331477,0.8463071053759995,0.3065205269551518,FHL3,1.0
GO_Biological_Process_2021,defense response to bacterium (GO:0042742),3/176,0.6965358443647023,0.835683222425279,0.3022131574914759,FGR;ISG15;TNFRSF14,1.0
GO_Biological_Process_2021,glycerophospholipid biosynthetic process (GO:0046474),3/177,0.7001802980483678,0.8308376627070316,0.29612500659575647,MFSD2A;PIK3CD;PLA2G5,1.0
GO_Biological_Process_2021,positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),1/59,0.7023389545712438,0.831673032253284,0.29386264247484023,TNFRSF18,1.0
