Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
KEGG_2021_Human,Th17 cell differentiation,1/107,0.8892352053296279,0.45394827693489,0.05329057956198547,MTOR,1.0
KEGG_2021_Human,Ribosome biogenesis in eukaryotes,1/108,0.8914958249765474,0.44968269363884894,0.05164809210421209,GNL2,1.0
KEGG_2021_Human,Alcoholism,2/186,0.8940976559629316,0.5222234053367001,0.05845783156119447,GNB1;HDAC1,1.0
KEGG_2021_Human,Toxoplasmosis,1/112,0.9000872965733121,0.43338893402153894,0.04562004653098925,CASP9,1.0
KEGG_2021_Human,Serotonergic synapse,1/113,0.9021269464924209,0.4294973441129403,0.044238239292982186,GNB1,1.0
KEGG_2021_Human,Transcriptional misregulation in cancer,2/192,0.904046156666672,0.5055758084862685,0.05099988972644643,HDAC1;ZBTB17,1.0
KEGG_2021_Human,Glutamatergic synapse,1/114,0.9041250588132373,0.4256746319018391,0.04290271974687759,GNB1,1.0
KEGG_2021_Human,Leukocyte transendothelial migration,1/114,0.9041250588132373,0.4256746319018391,0.04290271974687759,PIK3CD,1.0
KEGG_2021_Human,Pathogenic Escherichia coli infection,2/197,0.9116635767873563,0.49248539045003165,0.045547138063479244,CASP9;WASF2,1.0
KEGG_2021_Human,Focal adhesion,2/201,0.9173461068731747,0.4824866791861723,0.041624340061714775,COL9A2;PIK3CD,1.0
KEGG_2021_Human,Osteoclast differentiation,1/127,0.9266822178345784,0.3815010685735578,0.029049238357779877,PIK3CD,1.0
KEGG_2021_Human,Oocyte meiosis,1/129,0.9296474155559855,0.37550153413113496,0.027392794775419695,MAD2L2,1.0
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1/131,0.9324929749427082,0.36968660074847903,0.02583874997337291,PIK3CD,1.0
KEGG_2021_Human,Dopaminergic synapse,1/132,0.9338724028038617,0.36684571726382265,0.02509791988456987,GNB1,1.0
KEGG_2021_Human,Vascular smooth muscle contraction,1/133,0.9352237116654296,0.36404787746832773,0.024380109608509625,PLA2G5,1.0
KEGG_2021_Human,cAMP signaling pathway,2/216,0.9357395241260184,0.44832052212216716,0.029776609564872252,PIK3CD;SLC9A1,1.0
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.9389206214529956,0.4420541025316261,0.027860167411391953,PIK3CD;SLC2A1,1.0
KEGG_2021_Human,MAPK signaling pathway,3/294,0.9397427427553495,0.4937965140573888,0.030689018360632925,EPHA2;MAP3K6;STMN1,1.0
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.9403590206513813,0.35326796531509747,0.021723697676065974,PIK3CD,1.0
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,1/150,0.9544054811934294,0.3222305001222397,0.01503742284617935,SLC9A1,1.0
KEGG_2021_Human,Cushing syndrome,1/155,0.9588818492872551,0.31168830415263765,0.013086985766674103,DVL1,1.0
KEGG_2021_Human,Salmonella infection,2/249,0.9634948899576175,0.38776204616013693,0.014420131719440656,PIK3CD;PLEKHM2,1.0
KEGG_2021_Human,Tight junction,1/169,0.9692169680805102,0.2855085174947926,0.008926932829040606,PRKCZ,1.0
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.975985246882443,0.26631000727903964,0.0064734126805234046,MFN2,1.0
KEGG_2021_Human,Neuroactive ligand-receptor interaction,2/341,0.9929258483438331,0.2811851913518371,0.0019962158081741526,CORT;GABRD,1.0
KEGG_2021_Human,Olfactory transduction,1/440,0.9998911426021413,0.10773643542865124,1.1728546396331245e-05,GNB1,1.0
