,mean,var,std
acc,0.39948838486315635,0.00012602860902254258,0.011226246435142183
balanced_acc,0.08644911715867197,2.1976198385500347e-05,0.004687877812560855
prec_macro,0.07467450674731374,0.00015915408881335183,0.012615628752200654
recall_macro,0.08644911715867197,2.1976198385500347e-05,0.004687877812560855
f1_macro,0.07297310417902443,3.069299429790747e-05,0.00554012583773216
mcc,0.29979522968946265,0.00020109725355500947,0.014180876332406594
kappa,0.28956425578684447,0.00018758044156056333,0.013696000933139692
auc_ovr,0.7481061273925175,0.0003825499956871101,0.019558885338564418
