,mean,var,std
acc,0.458387742665622,0.00019194318179124986,0.013854356058339552
balanced_acc,0.11168881001735212,9.74065238700696e-05,0.009869474346188331
prec_macro,0.09002663477773486,0.0002493321820069678,0.01579025591961599
recall_macro,0.11168881001735212,9.74065238700696e-05,0.009869474346188331
f1_macro,0.0953031333864158,9.119003291402747e-05,0.00954934725067779
mcc,0.37035136194555773,0.0002985738363221901,0.017279289230815894
kappa,0.3630029998556375,0.000289750081811787,0.017022046933661855
auc_ovr,0.794650989834254,0.0003006349818184249,0.0173388287325997
